Date,Group,TopicType,Url,Title,RawGithubUrl,ADA Status,Eligible for Exec Doc Conversion?,Reason for Ineligiblity,PageViews,PVMoM,Visitors,Engagement,Flags,BounceRate,ClickThroughRate,CopyTryScrollRate,ExitRate,HelpfulRating,Ratings,Verbatims,Link_Drilldown_Docs,Link_Trends,Freshness,LastPublished,LastReviewed,OrganicSearchReferrals,OrganicSearchRate,DirectTrafficRate,MicrosoftTrafficRate,ExternalTrafficRate,SocialMediaTrafficRate,CopyRate,TryRate,ScrollRate,FirstPublished,MSAuthor,IsHistorical,RedirectUrl,PlatformId,TopicKey,CSAs
25-Feb,Concepts,best-practice,https://learn.microsoft.com/en-us/azure/aks/developer-best-practices-pod-security,Developer best practices - Pod security in Azure Kubernetes Services (AKS) - Azure Kubernetes Service,https://raw.githubusercontent.com/MicrosoftDocs/azure-aks-docs/refs/heads/main/articles/aks/developer-best-practices-pod-security.md,,no,"contains only YAML and descriptive text, no eligible bash/az commands for execution",434,-28.40%,320,H,1,9.70%,20.00%,83.40%,41.70%,,,,https://aka.ms/learncontentdrilldown?p_SelectedPlatformId=8d0dfa1c-4c27-e305-46e4-a3bfe36f52f3,https://aka.ms/learncontenttrends?p_SelectedPlatformId=8d0dfa1c-4c27-e305-46e4-a3bfe36f52f3,> 365 days,########,1/12/2024,202,46.50%,17.30%,33.40%,2.80%,0.00%,9%,0%,83%,8/1/2024,magoedte,No,,8d0dfa1c-4c27-e305-46e4-a3bfe36f52f3,3903fda0-721b-3572-9a89-7d35835950fa,"[""infrastructure"",""digital-app-innovation"",""data-ai""]"
25-Feb,Concepts,best-practice,https://learn.microsoft.com/en-us/azure/aks/best-practices-ml-ops,Machine learning operations (MLOps) best practices in Azure Kubernetes Service (AKS) - Azure Kubernetes Service,https://raw.githubusercontent.com/MicrosoftDocs/azure-aks-docs/refs/heads/main/articles/aks/best-practices-ml-ops.md,,no,No executable BASH commands or terminal code blocks present; content is conceptual best practices.,166,6.40%,118,H,1,13.30%,22.90%,83.10%,38.00%,,,,https://aka.ms/learncontentdrilldown?p_SelectedPlatformId=f7ebe1df-cf91-273a-1235-47e3545c7eae,https://aka.ms/learncontenttrends?p_SelectedPlatformId=f7ebe1df-cf91-273a-1235-47e3545c7eae,91-180 days,########,10/7/2024,73,44.00%,14.50%,39.80%,1.80%,0.00%,1%,0%,83%,########,schaffererin,No,,f7ebe1df-cf91-273a-1235-47e3545c7eae,37ebc65c-b1bb-3acf-9b28-60dda87601d8,"[""infrastructure"",""digital-app-innovation"",""data-ai""]"
25-Feb,Concepts,best-practice,https://learn.microsoft.com/en-us/azure/aks/operator-best-practices-scheduler,Operator best practices - Basic scheduler features in Azure Kubernetes Services (AKS) - Azure Kubernetes Service,https://raw.githubusercontent.com/MicrosoftDocs/azure-aks-docs/refs/heads/main/articles/aks/operator-best-practices-scheduler.md,,no,"code examples are YAML manifests, not bash or CLI commands",601,-19.40%,413,H,1,11.80%,20.80%,86.70%,33.10%,,,,https://aka.ms/learncontentdrilldown?p_SelectedPlatformId=1335e3bf-c9d7-1ea2-a4c5-cbcac863dbcb,https://aka.ms/learncontenttrends?p_SelectedPlatformId=1335e3bf-c9d7-1ea2-a4c5-cbcac863dbcb,> 365 days,########,3/9/2021,187,31.10%,10.60%,55.20%,2.80%,0.20%,5%,0%,87%,8/1/2024,magoedte,No,,1335e3bf-c9d7-1ea2-a4c5-cbcac863dbcb,2a4416e0-5f05-3260-a667-d83da73440a0,"[""infrastructure"",""digital-app-innovation"",""data-ai""]"
25-Feb,Concepts,best-practice,https://learn.microsoft.com/en-us/azure/aks/operator-best-practices-container-image-management,Operator best practices - Container image management in Azure Kubernetes Services (AKS) - Azure Kubernetes Service,https://raw.githubusercontent.com/MicrosoftDocs/azure-aks-docs/refs/heads/main/articles/aks/operator-best-practices-container-image-management.md,,no,No bash or Azure CLI commands present; content is conceptual and guideline-focused without executable command examples.,390,-26.70%,297,H,0,9.50%,25.10%,80.80%,28.20%,,,,https://aka.ms/learncontentdrilldown?p_SelectedPlatformId=97f98655-4e1d-95c0-ee9c-e576c1216ae8,https://aka.ms/learncontenttrends?p_SelectedPlatformId=97f98655-4e1d-95c0-ee9c-e576c1216ae8,> 365 days,########,6/27/2023,203,52.10%,6.40%,38.20%,3.30%,0.00%,3%,0%,80%,8/1/2024,nickoman,No,,97f98655-4e1d-95c0-ee9c-e576c1216ae8,21d687f6-1432-34ce-a187-fbcd8cb959a7,"[""infrastructure"",""digital-app-innovation"",""data-ai""]"
25-Feb,Concepts,best-practice,https://learn.microsoft.com/en-us/azure/aks/best-practices-cost,Optimize costs in Azure Kubernetes Service (AKS) - Azure Kubernetes Service,https://raw.githubusercontent.com/MicrosoftDocs/azure-aks-docs/refs/heads/main/articles/aks/best-practices-cost.md,,no,"no bash/terminal commands present, only conceptual best practices and recommendations",675,-34.30%,506,H,0,11.40%,32.90%,81.60%,29.30%,,,,https://aka.ms/learncontentdrilldown?p_SelectedPlatformId=9cf7b7b9-fc3a-19b0-8606-9f6519da7e69,https://aka.ms/learncontenttrends?p_SelectedPlatformId=9cf7b7b9-fc3a-19b0-8606-9f6519da7e69,> 365 days,########,2/21/2024,286,42.40%,11.10%,43.00%,3.60%,0.00%,4%,0%,82%,8/1/2024,schaffererin,No,,9cf7b7b9-fc3a-19b0-8606-9f6519da7e69,c6411d03-0dad-348d-aa78-bc6fb0480c70,"[""infrastructure"",""digital-app-innovation"",""data-ai""]"
25-Feb,Concepts,best-practice,https://learn.microsoft.com/en-us/azure/aks/best-practices-performance-scale,Performance and scaling best practices for small to medium workloads in Azure Kubernetes Service (AKS) - Azure Kubernetes Service,https://raw.githubusercontent.com/MicrosoftDocs/azure-aks-docs/refs/heads/main/articles/aks/best-practices-performance-scale.md,,no,"no bash/az commands present, only YAML and generic best practice guidance",438,-37.50%,312,H,0,13.20%,27.60%,85.60%,33.60%,,,,https://aka.ms/learncontentdrilldown?p_SelectedPlatformId=8d129c38-37ad-79d0-d387-94e4d3eefa49,https://aka.ms/learncontenttrends?p_SelectedPlatformId=8d129c38-37ad-79d0-d387-94e4d3eefa49,> 365 days,########,11/3/2023,205,46.80%,14.40%,36.80%,1.80%,0.20%,5%,0%,86%,8/1/2024,schaffererin,No,,8d129c38-37ad-79d0-d387-94e4d3eefa49,ffe762d2-10c0-3091-b9db-40d8d5ab273a,"[""infrastructure"",""digital-app-innovation"",""data-ai""]"
25-Feb,Concepts,best-practice,https://learn.microsoft.com/en-us/azure/aks/best-practices-monitoring-proactive,Proactive monitoring best practices for Azure Kubernetes Service (AKS) - Azure Kubernetes Service,https://raw.githubusercontent.com/MicrosoftDocs/azure-aks-docs/refs/heads/main/articles/aks/best-practices-monitoring-proactive.md,,no,"content is primarily descriptive and relies on Azure Portal GUI instructions, without bash/CLI commands",393,-15.80%,252,H,0,13.50%,25.70%,83.30%,33.60%,,,,https://aka.ms/learncontentdrilldown?p_SelectedPlatformId=00fcc410-fde7-8601-cdce-7b0315f94412,https://aka.ms/learncontenttrends?p_SelectedPlatformId=00fcc410-fde7-8601-cdce-7b0315f94412,91-180 days,########,11/1/2024,181,46.10%,22.40%,24.40%,6.90%,0.30%,10%,0%,83%,########,schaffererin,No,,00fcc410-fde7-8601-cdce-7b0315f94412,79bebc51-129c-34cd-b016-4427829e043b,"[""infrastructure"",""digital-app-innovation"",""data-ai""]"
25-Feb,Concepts,best-practice,https://learn.microsoft.com/en-us/azure/aks/developer-best-practices-resource-management,Resource management best practices for Azure Kubernetes Service (AKS) - Azure Kubernetes Service,https://raw.githubusercontent.com/MicrosoftDocs/azure-aks-docs/refs/heads/main/articles/aks/developer-best-practices-resource-management.md,,no,"only includes YAML and GUI/screenshot guidance, no eligible bash/azurecli commands",798,-25.40%,590,H,1,12.80%,22.70%,86.60%,43.20%,,,,https://aka.ms/learncontentdrilldown?p_SelectedPlatformId=f0c723ef-ee8c-ab04-f997-e32c59709015,https://aka.ms/learncontenttrends?p_SelectedPlatformId=f0c723ef-ee8c-ab04-f997-e32c59709015,> 365 days,########,5/25/2023,455,57.00%,18.20%,22.90%,1.90%,0.00%,5%,0%,87%,8/1/2024,nickoman,No,,f0c723ef-ee8c-ab04-f997-e32c59709015,0f38c093-4716-34a3-9db4-1314759948c6,"[""infrastructure"",""digital-app-innovation"",""data-ai""]"
25-Feb,Concepts,concept-article,https://learn.microsoft.com/en-us/azure/aks/servicemesh-about,About service meshes - Azure Kubernetes Service,https://raw.githubusercontent.com/MicrosoftDocs/azure-aks-docs/refs/heads/main/articles/aks/servicemesh-about.md,,no,no bash/azurecli commands present,675,-23.40%,524,H,0,13.20%,30.80%,81.30%,38.20%,,,,https://aka.ms/learncontentdrilldown?p_SelectedPlatformId=315cb7f0-97b4-fad5-e0f6-a2795f8cb0a1,https://aka.ms/learncontenttrends?p_SelectedPlatformId=315cb7f0-97b4-fad5-e0f6-a2795f8cb0a1,> 365 days,########,4/18/2023,447,66.20%,6.70%,24.70%,2.40%,0.00%,3%,0%,81%,8/1/2024,pgibson,No,,315cb7f0-97b4-fad5-e0f6-a2795f8cb0a1,b3caa345-24f4-3794-b385-66612d661418,"[""infrastructure"",""digital-app-innovation"",""data-ai""]"
25-Feb,Concepts,concept-article,https://learn.microsoft.com/en-us/azure/aks/access-private-cluster,Access a private Azure Kubernetes Service (AKS) cluster using the command invoke or Run command feature - Azure Kubernetes Service,https://raw.githubusercontent.com/MicrosoftDocs/azure-aks-docs/refs/heads/main/articles/aks/access-private-cluster.md,,yes,,"1,870",-23.40%,"1,205",H,0,11.10%,25.10%,88.10%,36.60%,,,,https://aka.ms/learncontentdrilldown?p_SelectedPlatformId=1fce1c89-4d6f-7be0-eb67-127594fc6afb,https://aka.ms/learncontenttrends?p_SelectedPlatformId=1fce1c89-4d6f-7be0-eb67-127594fc6afb,> 365 days,########,9/15/2023,912,48.80%,18.30%,30.20%,2.60%,0.10%,11%,1%,88%,8/1/2024,schaffererin,No,,1fce1c89-4d6f-7be0-eb67-127594fc6afb,3f583bd0-85a3-31ad-a4a1-dc1d0b014296,"[""infrastructure"",""digital-app-innovation"",""data-ai""]"
25-Feb,Concepts,concept-article,https://learn.microsoft.com/en-us/azure/aks/concepts-preview-api-life-cycle,AKS Preview API life cycle - Azure Kubernetes Service,https://raw.githubusercontent.com/MicrosoftDocs/azure-aks-docs/refs/heads/main/articles/aks/concepts-preview-api-life-cycle.md,,yes,,964,-56.60%,529,H,1,11.70%,21.30%,88.50%,46.10%,,,,https://aka.ms/learncontentdrilldown?p_SelectedPlatformId=6490098d-bf8c-c2dd-8333-34447679941a,https://aka.ms/learncontenttrends?p_SelectedPlatformId=6490098d-bf8c-c2dd-8333-34447679941a,271-365 days,2/4/2025,5/29/2024,172,17.80%,32.90%,21.10%,27.80%,0.40%,19%,0%,89%,8/1/2024,matthchr,No,,6490098d-bf8c-c2dd-8333-34447679941a,1232b718-dfec-36fc-87fa-22443cc050eb,"[""infrastructure"",""digital-app-innovation"",""data-ai""]"
25-Feb,Concepts,concept-article,https://learn.microsoft.com/en-us/azure/aks/availability-zones-overview,Availability zones in Azure Kubernetes Service (AKS) - Azure Kubernetes Service,https://raw.githubusercontent.com/MicrosoftDocs/azure-aks-docs/refs/heads/main/articles/aks/availability-zones-overview.md,,yes,,"2,302",142.80%,"1,455",H,1,10.30%,21.30%,86.70%,37.20%,,,,https://aka.ms/learncontentdrilldown?p_SelectedPlatformId=f7e140f2-88d5-7348-565e-6f7492e2b85a,https://aka.ms/learncontenttrends?p_SelectedPlatformId=f7e140f2-88d5-7348-565e-6f7492e2b85a,0-90 days,2/27/2025,2/3/2025,"1,161",50.40%,14.90%,31.40%,3.10%,0.10%,12%,0%,87%,8/1/2024,dabossch,No,,f7e140f2-88d5-7348-565e-6f7492e2b85a,62b2ad7d-d826-3f5e-9437-20f17bf6469c,"[""infrastructure"",""digital-app-innovation"",""data-ai""]"
25-Feb,Concepts,concept-article,https://learn.microsoft.com/en-us/azure/aks/azure-app-configuration,Azure App Configuration extension for Azure Kubernetes Service - Azure Kubernetes Service,https://raw.githubusercontent.com/MicrosoftDocs/azure-aks-docs/refs/heads/main/articles/aks/azure-app-configuration.md,,yes,,290,7.80%,186,H,0,8.60%,30.30%,82.80%,24.10%,,,,https://aka.ms/learncontentdrilldown?p_SelectedPlatformId=42aee26b-f2ce-a819-ff08-23eaf5d1fa9d,https://aka.ms/learncontenttrends?p_SelectedPlatformId=42aee26b-f2ce-a819-ff08-23eaf5d1fa9d,91-180 days,2/10/2025,########,129,44.50%,14.10%,36.90%,3.80%,0.70%,11%,0%,82%,8/1/2024,junbchen,No,,42aee26b-f2ce-a819-ff08-23eaf5d1fa9d,06f4ecfa-837b-3c51-bd43-9f4687c42369,"[""infrastructure"",""digital-app-innovation"",""data-ai""]"
25-Feb,Concepts,concept-article,https://learn.microsoft.com/en-us/azure/aks/azure-cni-overview,Azure CNI networking in Azure Kubernetes Service (AKS) overview - Azure Kubernetes Service,https://raw.githubusercontent.com/MicrosoftDocs/azure-aks-docs/refs/heads/main/articles/aks/azure-cni-overview.md,,no,No bash/terminal commands are present; the content is purely conceptual and contains no executable code.,729,-34.40%,502,H,1,8.90%,20.40%,88.80%,29.20%,,,,https://aka.ms/learncontentdrilldown?p_SelectedPlatformId=d4e12789-447e-66dd-6e6b-e2589de0c5c1,https://aka.ms/learncontenttrends?p_SelectedPlatformId=d4e12789-447e-66dd-6e6b-e2589de0c5c1,> 365 days,8/1/2024,2/29/2024,491,67.40%,13.30%,16.70%,2.60%,0.00%,6%,0%,89%,8/1/2024,allensu,No,,d4e12789-447e-66dd-6e6b-e2589de0c5c1,04367586-416b-38af-a787-a67fb8945628,"[""infrastructure"",""digital-app-innovation"",""data-ai""]"
25-Feb,Concepts,concept-article,https://learn.microsoft.com/en-us/azure/aks/cis-ubuntu,Azure Kubernetes Service (AKS) Ubuntu image alignment with Center for Internet Security (CIS) benchmark - Azure Kubernetes Service,https://raw.githubusercontent.com/MicrosoftDocs/azure-aks-docs/refs/heads/main/articles/aks/cis-ubuntu.md,,no,No executable bash or Azure CLI commands or procedures present; content is informational/conceptual only.,130,-29.00%,91,H,1,10.00%,16.20%,91.20%,30.80%,,,,https://aka.ms/learncontentdrilldown?p_SelectedPlatformId=61cff4e8-6ef7-ee48-7eb4-27399a56f4c8,https://aka.ms/learncontenttrends?p_SelectedPlatformId=61cff4e8-6ef7-ee48-7eb4-27399a56f4c8,> 365 days,########,9/27/2023,92,70.80%,17.70%,10.00%,1.50%,0.00%,2%,0%,91%,8/1/2024,magoedte,No,,61cff4e8-6ef7-ee48-7eb4-27399a56f4c8,d303bb84-5acb-3761-b04f-59e35348b7b7,"[""infrastructure"",""digital-app-innovation"",""data-ai""]"
25-Feb,Concepts,concept-article,https://learn.microsoft.com/en-us/azure/aks/cis-windows,Azure Kubernetes Service (AKS) Windows image alignment with Center for Internet Security (CIS) benchmark - Azure Kubernetes Service,https://raw.githubusercontent.com/MicrosoftDocs/azure-aks-docs/refs/heads/main/articles/aks/cis-windows.md,,no,content does not contain any supported (bash/azcli) terminal commands or stepwise executable instructions,19,-50.00%,15,H,1,5.30%,26.30%,73.30%,31.60%,,,,https://aka.ms/learncontentdrilldown?p_SelectedPlatformId=199a2a19-9c64-ee58-347b-e87e4e41d8d8,https://aka.ms/learncontenttrends?p_SelectedPlatformId=199a2a19-9c64-ee58-347b-e87e4e41d8d8,> 365 days,########,9/27/2023,10,52.60%,10.50%,36.80%,0.00%,0.00%,7%,0%,67%,8/1/2024,nickoman,No,,199a2a19-9c64-ee58-347b-e87e4e41d8d8,4aa4dd75-e540-3fbf-a784-b4e01324a082,"[""infrastructure"",""digital-app-innovation"",""data-ai""]"
25-Feb,Concepts,concept-article,https://learn.microsoft.com/en-us/azure/aks/cis-kubernetes,Center for Internet Security (CIS) Kubernetes benchmark - Azure Kubernetes Service,https://raw.githubusercontent.com/MicrosoftDocs/azure-aks-docs/refs/heads/main/articles/aks/cis-kubernetes.md,,no,"does not contain any bash/terminal commands or executable steps, only conceptual and informational content",477,-32.40%,293,H,0,12.20%,27.90%,81.90%,48.40%,50.00%,2,2,https://aka.ms/learncontentdrilldown?p_SelectedPlatformId=d1b7579f-c4f2-d6da-de3b-e2cd3afb031d,https://aka.ms/learncontenttrends?p_SelectedPlatformId=d1b7579f-c4f2-d6da-de3b-e2cd3afb031d,181-270 days,########,8/27/2024,260,54.50%,15.90%,27.00%,2.50%,0.00%,9%,0%,82%,8/1/2024,magoedte,No,,d1b7579f-c4f2-d6da-de3b-e2cd3afb031d,b01a01e7-1dde-3556-83cf-961b7031bb3d,"[""infrastructure"",""digital-app-innovation"",""data-ai""]"
25-Feb,Concepts,concept-article,https://learn.microsoft.com/en-us/azure/aks/certificate-rotation,Certificate Rotation in Azure Kubernetes Service (AKS) - Azure Kubernetes Service,https://raw.githubusercontent.com/MicrosoftDocs/azure-aks-docs/refs/heads/main/articles/aks/certificate-rotation.md,,yes,,"1,028",-21.80%,652,H,1,8.00%,16.10%,88.80%,43.90%,,,,https://aka.ms/learncontentdrilldown?p_SelectedPlatformId=6f3aa43f-a196-9226-2c00-a0c04e004a1e,https://aka.ms/learncontenttrends?p_SelectedPlatformId=6f3aa43f-a196-9226-2c00-a0c04e004a1e,181-270 days,########,8/29/2024,458,44.60%,22.60%,25.00%,7.70%,0.20%,14%,2%,89%,8/1/2024,nickoman,No,,6f3aa43f-a196-9226-2c00-a0c04e004a1e,39346197-9859-350b-8fe8-315cbec895a5,"[""infrastructure"",""digital-app-innovation"",""data-ai""]"
